"country","COD","year","pop","respiratory","cardiovascular","zoonotic","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsial_disease","malaria","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM","pm25_SUM"
"Bolivia","BO010101",2001,151512.911190032,12382,12329,696,572,NA,4,NA,NA,120,9.5574,1.435,25.7634,78.7433,0,48.07,0,0,0,1470,0,11304882181
"Bolivia","BO010101",2002,154315.718661784,9230,6929,1740,1671,NA,4,NA,NA,65,9.5689,1.4356,25.7602,78.7719,0,48.078,0,0,0,1470,0,12461473067
"Bolivia","BO010101",2003,157118.526133537,7225,0,1849,1813,NA,4,NA,NA,32,9.5234,1.438,25.6728,78.7436,0,48.0284,0,0,0,1470,0,11689896778.5
"Bolivia","BO010101",2004,159921.333605289,8506,0,43,0,NA,4,NA,NA,39,9.5835,1.4332,25.7542,78.8098,0,47.9692,0,0,0,1470,0,13993886217
"Bolivia","BO010101",2005,162724.141077041,7435,0,28,0,NA,0,NA,NA,28,9.6467,1.432,25.7768,78.9304,0,48.0613,0,0,0,1470,0,13613956802
"Bolivia","BO010101",2006,165551.724201633,7656,0,34,0,NA,13,NA,NA,21,9.6736,1.4285,25.786,78.9816,0,48.0926,0,0,0,1470,0,11660390255
"Bolivia","BO010101",2007,168379.307326225,9114,0,21,0,NA,5,NA,NA,16,9.5952,1.4421,25.7206,78.8632,0,48.1353,0,0,0,1470,0,14432569463
"Bolivia","BO010101",2008,171206.890450816,7793,0,254,0,NA,5,NA,NA,249,9.5465,1.4338,25.6285,78.8325,0,48.1857,0,0,0,1470,0,11221599502
"Bolivia","BO010101",2009,174034.473575408,7083,0,4,0,NA,1,NA,NA,3,9.5993,1.4386,25.7826,78.8206,0,48.1788,0,0,0,1470,0,10904762212.5
"Bolivia","BO010101",2010,176862.0567,6070,0,836,834,NA,2,NA,NA,0,9.5893,1.4386,25.8045,78.7804,0,48.1931,0,0,0,1472,0,14239651164
"Bolivia","BO010101",2011,179738.214129455,7267,0,316,301,NA,15,NA,NA,0,9.5714,1.4386,25.8261,78.7229,0,48.1707,0,0,0,1470,0,11649315499
"Bolivia","BO010101",2012,182614.37155891,7499,0,240,236,NA,4,NA,NA,0,9.5904,1.4499,25.8936,78.709,0,48.1356,0,0,0,1470,0,11181583553
"Bolivia","BO010101",2013,185490.528988364,6284,0,263,240,NA,22,NA,NA,1,9.5836,1.4511,25.8998,78.6882,0,48.2109,0,0,0,1470,0,10611909766
"Bolivia","BO010101",2014,188366.686417819,5503,0,114,109,NA,5,NA,NA,0,9.5867,1.4499,25.9101,78.6858,0,48.4168,0,0,0,1470,0,11250870485
"Bolivia","BO010101",2015,191242.843847274,5784,0,395,326,NA,33,NA,NA,36,9.6179,1.4457,25.9207,78.7466,0,48.5714,0,0,0,1470,0,11803901114.5
"Bolivia","BO010101",2016,194180.100931167,4950,0,480,264,NA,27,NA,NA,189,9.6272,1.4427,25.8849,78.797,0,48.6263,0,0,0,1470,0,11711226666
"Bolivia","BO010101",2017,197117.35801506,3995,0,770,276,NA,16,NA,NA,478,9.6242,1.4499,25.9116,78.768,0,48.6293,0,0,0,1470,0,11814628995
"Bolivia","BO010101",2018,200054.615098952,4137,0,1101,550,NA,26,NA,NA,525,9.5987,1.4475,25.9034,78.718,0,48.6919,0,0,0,1470,0,11170459172
"Bolivia","BO010101",2019,202991.872182845,5091,0,946,698,NA,19,NA,NA,229,9.5832,1.4445,25.8683,78.7126,0,48.6979,0,0,0,1470,0,12272329400.5
"Bolivia","BO010103",2001,48389.4230263709,629,141,182,0,NA,0,NA,NA,182,18.166,1.9889,40.1646,82.6056,0,74.7658,0,0,0,1247,0,9579373458
"Bolivia","BO010103",2002,49284.5693918227,619,30,165,3,NA,0,NA,NA,162,18.2254,1.9805,40.1606,82.6631,0,74.7174,0,0,0,1247,0,10563574241
"Bolivia","BO010103",2003,50179.7157572746,670,0,227,1,NA,0,NA,NA,226,18.1201,1.9882,40.2786,82.5105,0,74.4466,0,0,0,1247,0,9915096203.5
"Bolivia","BO010103",2004,51074.8621227264,648,0,139,0,NA,0,NA,NA,139,18.1352,1.9924,40.2516,82.5357,0,74.2708,0,0,0,1247,0,11973164172
"Bolivia","BO010103",2005,51970.0084881782,641,0,86,0,NA,0,NA,NA,86,18.173,1.9868,40.2839,82.5576,0,74.391,0,0,0,1247,0,11649295907
"Bolivia","BO010103",2006,52873.0676265426,561,0,176,0,NA,1,NA,NA,175,18.2021,1.9812,40.2933,82.5819,0,74.4708,0,0,0,1247,0,9902762218.5
"Bolivia","BO010103",2007,53776.1267649069,323,0,113,0,NA,0,NA,NA,113,18.1032,1.9917,40.2227,82.5181,0,74.3849,0,0,0,1247,0,12305413566
"Bolivia","BO010103",2008,54679.1859032713,220,0,17,0,NA,1,NA,NA,16,18.0902,2,40.2229,82.5047,0,74.1945,0,0,0,1247,0,9520664343
"Bolivia","BO010103",2009,55582.2450416356,208,0,4,0,NA,0,NA,NA,4,18.1405,1.9903,40.2335,82.5483,0,74.1827,0,0,0,1247,0,9203711660
"Bolivia","BO010103",2010,56485.30418,240,0,0,0,NA,0,NA,NA,0,18.1738,1.9938,40.2695,82.5649,0,74.173,0,0,0,1246,0,12124398138
"Bolivia","BO010103",2011,57403.8767164975,169,0,3,0,NA,1,NA,NA,2,18.1882,2.0007,40.3139,82.5601,0,73.9211,0,0,0,1247,0,9869702947.5
"Bolivia","BO010103",2012,58322.4492529951,224,0,45,0,NA,0,NA,NA,45,18.212,1.9979,40.408,82.5415,0,73.7548,0,0,0,1247,0,9461311890.5
"Bolivia","BO010103",2013,59241.0217894926,147,0,17,0,NA,0,NA,NA,17,18.2261,1.9924,40.463,82.5311,0,73.789,0,0,0,1247,0,8948829406.5
"Bolivia","BO010103",2014,60159.5943259902,113,0,5,5,NA,0,NA,NA,0,18.3027,1.9952,40.4893,82.5934,0,73.9938,0,0,0,1247,0,9524747711.5
"Bolivia","BO010103",2015,61078.1668624877,54,0,38,33,NA,5,NA,NA,0,18.3503,1.9917,40.4871,82.6392,0,74.1739,0,0,0,1247,0,10021234206
"Bolivia","BO010103",2016,62016.2531173705,63,0,82,72,NA,10,NA,NA,0,18.3702,1.9882,40.4913,82.6567,0,74.2728,0,0,0,1247,0,9920381715
"Bolivia","BO010103",2017,62954.3393722533,37,0,17,16,NA,1,NA,NA,0,18.3621,1.9861,40.4926,82.6481,0,74.2129,0,0,0,1247,0,10022481522.5
"Bolivia","BO010103",2018,63892.4256271362,95,0,63,58,NA,5,NA,NA,0,18.3275,1.9882,40.4815,82.6197,0,74.3321,0,0,0,1247,0,9444458830.5
"Bolivia","BO010103",2019,64830.511882019,35,0,7,3,NA,0,NA,NA,4,18.225,1.9973,40.4769,82.5232,0,74.3414,0,0,0,1247,0,10425831303.5
"Bolivia","BO010201",2001,10638.4815847634,685,127,211,0,NA,0,NA,NA,211,19.4587,0.7096,26.4297,89.2307,0,20.9142,0,0,0,1510,0,11536972543.5
"Bolivia","BO010201",2002,10835.2807501077,399,101,159,2,NA,0,NA,NA,157,19.4626,0.7142,26.4595,89.2209,0,20.8799,0,1,0.001324503311258,1510,2,12828857011
