"country","department","municipality","COD","scale","year","cardiovascular","chagas","cutaneous_leishmaniasis","malaria","pneumonia","respiratory_symptomatic"
"Bolivia","CHUQUISACA","SUCRE","BO010101","municipality",2001,12329,572,4,120,9813,2569
"Bolivia","CHUQUISACA","YOTALA","BO010102","municipality",2001,99,0,0,4,378,158
"Bolivia","CHUQUISACA","POROMA","BO010103","municipality",2001,141,0,0,182,435,194
"Bolivia","CHUQUISACA","AZURDUY","BO010201","municipality",2001,127,0,0,211,558,127
"Bolivia","CHUQUISACA","TARVITA","BO010202","municipality",2001,143,0,0,77,410,159
"Bolivia","CHUQUISACA","ZUDAÑEZ","BO010301","municipality",2001,185,0,0,24,328,106
"Bolivia","CHUQUISACA","PRESTO","BO010302","municipality",2001,42,0,0,38,323,58
"Bolivia","CHUQUISACA","MOJOCOYA","BO010303","municipality",2001,145,0,0,36,207,60
"Bolivia","CHUQUISACA","ICLA","BO010304","municipality",2001,28,0,0,46,278,96
"Bolivia","CHUQUISACA","PADILLA","BO010401","municipality",2001,754,0,1,606,865,190
"Bolivia","CHUQUISACA","TOMINA","BO010402","municipality",2001,103,0,0,151,693,95
"Bolivia","CHUQUISACA","SOPACHUY","BO010403","municipality",2001,195,1,0,40,475,127
"Bolivia","CHUQUISACA","ALCALA","BO010404","municipality",2001,44,0,1,14,232,34
"Bolivia","CHUQUISACA","EL VILLAR","BO010405","municipality",2001,117,0,0,249,193,79
"Bolivia","CHUQUISACA","MONTEAGUDO","BO010501","municipality",2001,1087,10,0,1253,1288,695
"Bolivia","CHUQUISACA","HUACARETA","BO010502","municipality",2001,179,11,0,312,404,107
"Bolivia","CHUQUISACA","TARABUCO","BO010601","municipality",2001,92,0,0,8,598,359
"Bolivia","CHUQUISACA","YAMPARAEZ","BO010602","municipality",2001,108,0,0,16,326,224
"Bolivia","CHUQUISACA","CAMARGO","BO010701","municipality",2001,299,1,1,3,1291,148
"Bolivia","CHUQUISACA","SAN LUCAS","BO010702","municipality",2001,412,1,0,50,1946,458
"Bolivia","CHUQUISACA","INCAHUASI","BO010703","municipality",2001,96,0,0,37,871,112
"Bolivia","CHUQUISACA","VILLA CHARCAS","BO010704","municipality",2001,0,0,0,0,0,0
"Bolivia","CHUQUISACA","VILLA SERRANO","BO010801","municipality",2001,230,0,0,43,715,120
"Bolivia","CHUQUISACA","CAMATAQUI (C. VILLA ABECIA)","BO010901","municipality",2001,191,1,0,3,118,83
"Bolivia","CHUQUISACA","CULPINA","BO010902","municipality",2001,162,0,1,161,1271,200
"Bolivia","CHUQUISACA","LAS CARRERAS","BO010903","municipality",2001,123,0,0,2,87,46
"Bolivia","CHUQUISACA","VILLA VACA GUZMAN (MUYUPAMPA)","BO011001","municipality",2001,198,1,1,890,306,148
"Bolivia","CHUQUISACA","HUACAYA (VILLA DE HUACAYA)","BO011002","municipality",2001,170,7,0,45,221,46
"Bolivia","CHUQUISACA","MACHARETI","BO011003","municipality",2001,220,0,0,132,213,124
"Bolivia","LA PAZ","LA PAZ","BO020101","municipality",2001,6762,54,199,978,8822,2888
"Bolivia","LA PAZ","PALCA","BO020102","municipality",2001,28,0,0,0,379,102
"Bolivia","LA PAZ","MECAPACA","BO020103","municipality",2001,51,0,0,0,205,51
"Bolivia","LA PAZ","ACHOCALLA","BO020104","municipality",2001,17,0,0,0,269,51
"Bolivia","LA PAZ","EL ALTO","BO020105","municipality",2001,3325,0,7,0,11023,2587
"Bolivia","LA PAZ","ACHACACHI","BO020201","municipality",2001,153,0,2,4,732,403
"Bolivia","LA PAZ","ANCORAIMES","BO020202","municipality",2001,22,0,1,0,183,122
"Bolivia","LA PAZ","CHUA COCANI","BO020203","municipality",2001,0,0,0,0,0,0
"Bolivia","LA PAZ","HUARINA","BO020204","municipality",2001,0,0,0,0,0,0
"Bolivia","LA PAZ","SANTIAGO DE HUATA","BO020205","municipality",2001,0,0,0,0,0,0
"Bolivia","LA PAZ","HUATAJATA","BO020206","municipality",2001,0,0,0,0,0,0
"Bolivia","LA PAZ","CORO CORO","BO020301","municipality",2001,32,0,0,0,262,2
"Bolivia","LA PAZ","CAQUIAVIRI","BO020302","municipality",2001,23,0,0,4,85,12
"Bolivia","LA PAZ","CALACOTO","BO020303","municipality",2001,15,0,1,0,149,0
"Bolivia","LA PAZ","COMANCHE","BO020304","municipality",2001,16,0,0,0,114,12
"Bolivia","LA PAZ","CHARAÑA","BO020305","municipality",2001,60,0,0,0,20,2
"Bolivia","LA PAZ","WALDO BALLIVIAN","BO020306","municipality",2001,1,0,0,0,93,0
"Bolivia","LA PAZ","NAZACARA DE PACAJES","BO020307","municipality",2001,3,0,0,0,16,1
"Bolivia","LA PAZ","SANTIAGO DE CALLAPA","BO020308","municipality",2001,11,0,0,0,50,14
"Bolivia","LA PAZ","PUERTO ACOSTA","BO020401","municipality",2001,94,0,2,3,460,177
"Bolivia","LA PAZ","MOCOMOCO","BO020402","municipality",2001,44,0,4,3,122,86
"Bolivia","LA PAZ","PUERTO CARABUCO","BO020403","municipality",2001,104,0,1,11,494,141
"Bolivia","LA PAZ","HUMANATA","BO020404","municipality",2001,0,0,0,0,0,0
"Bolivia","LA PAZ","ESCOMA","BO020405","municipality",2001,0,0,0,0,0,0
"Bolivia","LA PAZ","CHUMA","BO020501","municipality",2001,44,0,4,15,81,36
"Bolivia","LA PAZ","AYATA","BO020502","municipality",2001,44,0,2,25,60,18
"Bolivia","LA PAZ","AUCAPATA","BO020503","municipality",2001,28,0,7,11,128,7
"Bolivia","LA PAZ","SORATA","BO020601","municipality",2001,75,0,1,10,209,236
