country,department,municipality,COD,scale,year,respiratory,cardiovascular,chagas,hantavirus,cutaneous_leishmaniasis,visceral_leishmaniasis,malaria
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2008,191,8,NA,NA,28,NA,207
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2009,210,11,NA,NA,14,NA,78
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2010,274,8,NA,NA,34,NA,41
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2011,267,8,NA,NA,9,NA,16
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2012,216,1,NA,NA,18,NA,33
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2013,321,13,NA,NA,26,NA,73
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2014,326,19,NA,NA,37,NA,79
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2015,319,15,NA,NA,21,NA,30
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2016,364,17,NA,NA,24,NA,6
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2017,390,18,NA,NA,20,NA,2
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2018,394,18,NA,NA,18,NA,1
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2019,410,23,NA,NA,20,NA,0
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2020,126,17,NA,NA,22,NA,NA
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2021,159,18,NA,NA,19,NA,NA
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2022,406,29,NA,NA,12,NA,NA
Brasil,RO,Alta Floresta D'Oeste,BR1100015,municipality,2023,602,30,NA,NA,NA,NA,NA
Brasil,RO,Ariquemes,BR1100023,municipality,2008,340,15,NA,1,70,NA,1132
Brasil,RO,Ariquemes,BR1100023,municipality,2009,629,15,NA,NA,76,NA,1073
Brasil,RO,Ariquemes,BR1100023,municipality,2010,499,26,NA,NA,53,NA,1249
Brasil,RO,Ariquemes,BR1100023,municipality,2011,560,33,NA,NA,29,NA,497
Brasil,RO,Ariquemes,BR1100023,municipality,2012,403,32,NA,NA,45,NA,203
Brasil,RO,Ariquemes,BR1100023,municipality,2013,613,50,NA,NA,60,NA,168
Brasil,RO,Ariquemes,BR1100023,municipality,2014,776,49,NA,NA,39,NA,77
Brasil,RO,Ariquemes,BR1100023,municipality,2015,851,66,NA,NA,59,NA,49
Brasil,RO,Ariquemes,BR1100023,municipality,2016,645,113,NA,NA,57,NA,94
Brasil,RO,Ariquemes,BR1100023,municipality,2017,858,92,NA,NA,65,NA,112
Brasil,RO,Ariquemes,BR1100023,municipality,2018,740,97,NA,NA,46,NA,619
Brasil,RO,Ariquemes,BR1100023,municipality,2019,787,95,NA,NA,25,NA,347
Brasil,RO,Ariquemes,BR1100023,municipality,2020,475,66,NA,NA,17,NA,NA
Brasil,RO,Ariquemes,BR1100023,municipality,2021,787,94,NA,NA,25,NA,NA
Brasil,RO,Ariquemes,BR1100023,municipality,2022,1146,68,NA,NA,18,NA,NA
Brasil,RO,Ariquemes,BR1100023,municipality,2023,1019,106,NA,NA,NA,NA,NA
Brasil,RO,Cabixi,BR1100031,municipality,2008,8,1,NA,NA,7,NA,0
Brasil,RO,Cabixi,BR1100031,municipality,2009,29,3,NA,NA,5,NA,2
Brasil,RO,Cabixi,BR1100031,municipality,2010,32,2,NA,NA,7,NA,6
Brasil,RO,Cabixi,BR1100031,municipality,2011,40,4,NA,NA,1,NA,1
Brasil,RO,Cabixi,BR1100031,municipality,2012,36,3,NA,NA,8,NA,0
Brasil,RO,Cabixi,BR1100031,municipality,2013,36,1,NA,NA,2,NA,1
Brasil,RO,Cabixi,BR1100031,municipality,2014,70,9,NA,NA,5,NA,0
Brasil,RO,Cabixi,BR1100031,municipality,2015,41,13,NA,NA,4,NA,0
Brasil,RO,Cabixi,BR1100031,municipality,2016,67,6,NA,NA,3,NA,3
Brasil,RO,Cabixi,BR1100031,municipality,2017,88,5,NA,NA,3,NA,1
Brasil,RO,Cabixi,BR1100031,municipality,2018,51,4,NA,NA,5,NA,1
Brasil,RO,Cabixi,BR1100031,municipality,2019,63,12,NA,NA,4,NA,1
Brasil,RO,Cabixi,BR1100031,municipality,2020,48,2,NA,NA,9,NA,NA
Brasil,RO,Cabixi,BR1100031,municipality,2021,15,7,NA,NA,6,NA,NA
Brasil,RO,Cabixi,BR1100031,municipality,2022,71,NA,NA,NA,5,NA,NA
Brasil,RO,Cabixi,BR1100031,municipality,2023,82,11,NA,NA,NA,NA,NA
Brasil,RO,Cacoal,BR1100049,municipality,2008,620,44,NA,NA,52,NA,29
Brasil,RO,Cacoal,BR1100049,municipality,2009,671,20,NA,NA,53,NA,24
Brasil,RO,Cacoal,BR1100049,municipality,2010,735,20,1,NA,41,NA,22
Brasil,RO,Cacoal,BR1100049,municipality,2011,606,25,NA,NA,29,NA,9
Brasil,RO,Cacoal,BR1100049,municipality,2012,536,50,NA,NA,63,NA,13
Brasil,RO,Cacoal,BR1100049,municipality,2013,897,80,NA,NA,67,NA,5
Brasil,RO,Cacoal,BR1100049,municipality,2014,652,95,NA,NA,68,NA,2
Brasil,RO,Cacoal,BR1100049,municipality,2015,378,66,NA,NA,51,NA,0
Brasil,RO,Cacoal,BR1100049,municipality,2016,436,79,NA,NA,41,NA,1
Brasil,RO,Cacoal,BR1100049,municipality,2017,467,82,NA,NA,48,NA,5
Brasil,RO,Cacoal,BR1100049,municipality,2018,640,118,NA,NA,59,NA,0
Brasil,RO,Cacoal,BR1100049,municipality,2019,628,142,NA,NA,44,NA,0
Brasil,RO,Cacoal,BR1100049,municipality,2020,215,133,NA,NA,52,NA,NA
Brasil,RO,Cacoal,BR1100049,municipality,2021,269,132,NA,NA,33,NA,NA
Brasil,RO,Cacoal,BR1100049,municipality,2022,527,122,NA,NA,52,NA,NA
Brasil,RO,Cacoal,BR1100049,municipality,2023,676,109,NA,NA,NA,NA,NA
Brasil,RO,Cerejeiras,BR1100056,municipality,2008,198,5,NA,NA,11,NA,4
Brasil,RO,Cerejeiras,BR1100056,municipality,2009,297,7,NA,NA,10,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2010,211,6,NA,NA,4,NA,2
Brasil,RO,Cerejeiras,BR1100056,municipality,2011,209,2,NA,NA,2,NA,1
Brasil,RO,Cerejeiras,BR1100056,municipality,2012,268,4,NA,NA,4,NA,1
Brasil,RO,Cerejeiras,BR1100056,municipality,2013,338,11,NA,NA,8,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2014,352,11,NA,NA,13,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2015,344,19,NA,NA,14,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2016,260,16,NA,NA,7,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2017,264,16,NA,NA,10,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2018,249,17,NA,NA,7,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2019,172,15,NA,NA,5,NA,0
Brasil,RO,Cerejeiras,BR1100056,municipality,2020,37,16,NA,NA,16,NA,NA
Brasil,RO,Cerejeiras,BR1100056,municipality,2021,38,15,NA,NA,5,NA,NA
Brasil,RO,Cerejeiras,BR1100056,municipality,2022,173,14,NA,NA,3,NA,NA
Brasil,RO,Cerejeiras,BR1100056,municipality,2023,182,23,NA,NA,NA,NA,NA
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2008,82,7,NA,NA,17,NA,3
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2009,213,3,NA,NA,17,NA,0
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2010,242,9,NA,NA,20,NA,1
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2011,219,7,NA,NA,24,NA,1
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2012,238,12,NA,NA,11,NA,1
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2013,291,11,NA,NA,17,NA,1
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2014,221,11,NA,NA,14,NA,0
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2015,249,15,NA,NA,18,NA,1
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2016,157,14,NA,NA,8,NA,0
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2017,291,10,NA,NA,9,NA,0
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2018,258,19,NA,NA,4,NA,1
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2019,103,20,NA,NA,4,NA,0
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2020,36,14,NA,NA,15,NA,NA
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2021,27,11,NA,NA,7,NA,NA
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2022,82,15,NA,NA,9,NA,NA
Brasil,RO,Colorado do Oeste,BR1100064,municipality,2023,77,12,NA,NA,NA,NA,NA
Brasil,RO,Corumbiara,BR1100072,municipality,2008,29,NA,NA,NA,5,NA,2
Brasil,RO,Corumbiara,BR1100072,municipality,2009,39,2,NA,NA,5,NA,2
Brasil,RO,Corumbiara,BR1100072,municipality,2010,64,2,NA,NA,9,NA,4
Brasil,RO,Corumbiara,BR1100072,municipality,2011,37,5,NA,NA,6,NA,1
Brasil,RO,Corumbiara,BR1100072,municipality,2012,43,2,NA,NA,8,NA,1
Brasil,RO,Corumbiara,BR1100072,municipality,2013,28,3,NA,NA,9,NA,0
Brasil,RO,Corumbiara,BR1100072,municipality,2014,25,3,NA,NA,18,NA,0
Brasil,RO,Corumbiara,BR1100072,municipality,2015,29,3,NA,NA,13,NA,0
Brasil,RO,Corumbiara,BR1100072,municipality,2016,29,5,NA,NA,11,NA,0
Brasil,RO,Corumbiara,BR1100072,municipality,2017,36,2,NA,NA,9,NA,0
Brasil,RO,Corumbiara,BR1100072,municipality,2018,24,1,NA,NA,10,NA,0
Brasil,RO,Corumbiara,BR1100072,municipality,2019,21,13,NA,NA,8,NA,0
Brasil,RO,Corumbiara,BR1100072,municipality,2020,3,6,NA,NA,13,NA,NA
Brasil,RO,Corumbiara,BR1100072,municipality,2021,9,NA,NA,NA,4,NA,NA
Brasil,RO,Corumbiara,BR1100072,municipality,2022,20,6,NA,NA,1,NA,NA
Brasil,RO,Corumbiara,BR1100072,municipality,2023,29,7,NA,NA,NA,NA,NA
Brasil,RO,Costa Marques,BR1100080,municipality,2008,20,NA,NA,NA,38,NA,292
Brasil,RO,Costa Marques,BR1100080,municipality,2009,118,1,NA,NA,56,NA,225
Brasil,RO,Costa Marques,BR1100080,municipality,2010,43,2,NA,NA,53,NA,390
Brasil,RO,Costa Marques,BR1100080,municipality,2011,141,NA,NA,NA,36,NA,180
Brasil,RO,Costa Marques,BR1100080,municipality,2012,14,1,NA,NA,32,NA,196
Brasil,RO,Costa Marques,BR1100080,municipality,2013,25,3,NA,NA,23,NA,110
Brasil,RO,Costa Marques,BR1100080,municipality,2014,102,2,NA,NA,24,NA,41
Brasil,RO,Costa Marques,BR1100080,municipality,2015,26,7,NA,NA,39,NA,55
Brasil,RO,Costa Marques,BR1100080,municipality,2016,55,4,NA,NA,11,NA,94
Brasil,RO,Costa Marques,BR1100080,municipality,2017,96,5,NA,NA,26,NA,16
Brasil,RO,Costa Marques,BR1100080,municipality,2018,131,4,NA,NA,29,NA,11
Brasil,RO,Costa Marques,BR1100080,municipality,2019,77,4,NA,NA,3,NA,107
Brasil,RO,Costa Marques,BR1100080,municipality,2020,35,1,NA,NA,18,NA,NA
Brasil,RO,Costa Marques,BR1100080,municipality,2021,22,5,NA,NA,4,NA,NA
Brasil,RO,Costa Marques,BR1100080,municipality,2022,62,5,NA,NA,7,NA,NA
Brasil,RO,Costa Marques,BR1100080,municipality,2023,36,6,NA,NA,NA,NA,NA
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2008,104,12,NA,NA,47,NA,856
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2009,210,6,NA,NA,51,NA,1045
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2010,260,11,NA,NA,42,NA,956
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2011,201,7,1,NA,24,NA,19
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2012,299,6,NA,NA,64,NA,15
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2013,443,14,NA,NA,66,NA,2
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2014,396,13,NA,NA,62,NA,2
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2015,365,12,NA,NA,43,NA,4
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2016,344,12,NA,NA,39,NA,0
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2017,356,13,NA,NA,51,NA,0
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2018,552,22,NA,NA,48,NA,0
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2019,342,32,NA,NA,41,NA,242
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2020,121,34,NA,NA,58,NA,NA
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2021,134,24,NA,NA,42,NA,NA
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2022,331,29,NA,NA,41,NA,NA
Brasil,RO,Espigão D'Oeste,BR1100098,municipality,2023,300,28,NA,NA,NA,NA,NA
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2008,237,8,NA,NA,17,NA,1152
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2009,374,7,NA,NA,17,NA,693
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2010,462,10,NA,NA,14,NA,1631
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2011,433,7,NA,NA,12,NA,653
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2012,462,11,NA,NA,29,NA,577
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2013,576,15,NA,NA,27,NA,481
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2014,537,9,NA,NA,38,NA,329
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2015,592,18,NA,NA,33,NA,504
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2016,475,19,NA,NA,5,NA,285
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2017,677,11,NA,NA,12,NA,311
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2018,569,14,NA,NA,7,NA,316
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2019,547,8,NA,NA,8,NA,499
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2020,246,19,NA,NA,13,NA,NA
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2021,311,25,NA,NA,13,NA,NA
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2022,696,27,NA,NA,18,NA,NA
Brasil,RO,Guajará-Mirim,BR1100106,municipality,2023,684,24,NA,NA,NA,NA,NA
Brasil,RO,Jaru,BR1100114,municipality,2008,214,5,NA,NA,35,NA,69
Brasil,RO,Jaru,BR1100114,municipality,2009,318,4,NA,NA,27,NA,47
Brasil,RO,Jaru,BR1100114,municipality,2010,236,14,NA,NA,17,NA,32
Brasil,RO,Jaru,BR1100114,municipality,2011,298,13,NA,NA,12,NA,25
Brasil,RO,Jaru,BR1100114,municipality,2012,317,9,NA,NA,17,NA,18
Brasil,RO,Jaru,BR1100114,municipality,2013,484,22,NA,NA,18,NA,15
Brasil,RO,Jaru,BR1100114,municipality,2014,433,23,NA,NA,15,NA,3
Brasil,RO,Jaru,BR1100114,municipality,2015,459,30,NA,NA,20,NA,3
Brasil,RO,Jaru,BR1100114,municipality,2016,457,49,NA,NA,10,NA,6
Brasil,RO,Jaru,BR1100114,municipality,2017,453,27,NA,NA,15,NA,6
Brasil,RO,Jaru,BR1100114,municipality,2018,631,20,NA,NA,20,NA,2
Brasil,RO,Jaru,BR1100114,municipality,2019,700,35,NA,NA,7,NA,1
Brasil,RO,Jaru,BR1100114,municipality,2020,234,43,NA,NA,21,NA,NA
Brasil,RO,Jaru,BR1100114,municipality,2021,215,34,NA,NA,18,NA,NA
Brasil,RO,Jaru,BR1100114,municipality,2022,493,28,NA,NA,13,NA,NA
Brasil,RO,Jaru,BR1100114,municipality,2023,588,49,NA,NA,NA,NA,NA
Brasil,RO,Ji-Paraná,BR1100122,municipality,2008,1156,33,NA,NA,52,NA,51
Brasil,RO,Ji-Paraná,BR1100122,municipality,2009,1295,25,NA,NA,40,NA,41
