"country","department","municipality","COD","scale","year","malaria falciparum","malaria vivax","chagas","conjunctivitis","rickettsia","bronchitis","chronic_resp","pneumonia","pharyngitis","tonsillitis","laryngitis","tracheitis","conduct_cardiac","cerebral_infarction","myocardial","pulmonary_embolism","malaria","cutaneous_leishmaniasis"
"Colombia","Caqueta","ALBANIA","CO18029","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"Colombia","Vaupes","BARBACOAS","CO52079","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guainía","BARRANCO MINAS","CO94343","municipality",2007,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11
"Colombia","Caquetá","BELEN DE LOS ANDAQUIES","CO18094","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Nariño","BUESACO","CO52110","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guainía","CACAHUAL","CO94886","municipality",2007,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guaviare","CALAMAR","CO95015","municipality",2007,130,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,34
"Colombia","Caquetá","CARTAGENA DEL CHAIRA","CO18150","municipality",2007,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,45
"Colombia","Vaupes","CARURU","CO97161","municipality",2007,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Nariño","CORDOBA","CO52215","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
"Colombia","Putumayo","COLON","CO86219","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Vichada","CUMARIBO","CO99773","municipality",2007,228,836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,13
"Colombia","Caquetá","CURILLO","CO18205","municipality",2007,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"Colombia","Caquetá","EL DONCELLO","CO18247","municipality",2007,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Amazonas","EL ENCANTO","CO91263","municipality",2007,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Caquetá","EL PAUJIL","CO18256","municipality",2007,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guaviare","EL RETORNO","CO95025","municipality",2007,158,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,48
"Colombia","Caquetá","FLORENCIA","CO18001","municipality",2007,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Nariño","FUNES","CO52287","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
"Colombia","Nariño","IPIALES","CO52356","municipality",2007,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
"Colombia","Amazonas","LA CHORRERA","CO91405","municipality",2007,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Guainía","LA GUADALUPE","CO94885","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Meta","LA MACARENA","CO50350","municipality",2007,5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,74
"Colombia","Caquetá","LA MONTANITA","CO18410","municipality",2007,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4
"Colombia","Amazonas","LA PEDRERA","CO91407","municipality",2007,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Meta","LA URIBE","CO50370","municipality",2007,15,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Vichada","LA PRIMAVERA","CO99524","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Amazonas","LA VICTORIA","CO91430","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Amazonas","LETICIA","CO91001","municipality",2007,20,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"Colombia","Meta","MAPIRIPAN","CO50325","municipality",2007,120,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
"Colombia","Guainía","MAPIRIPANA","CO94663","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Meta","MESETAS","CO50330","municipality",2007,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Caquetá","MILAN","CO18460","municipality",2007,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guaviare","MIRAFLORES","CO95200","municipality",2007,204,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,5
"Colombia","Amazonas","MIRITI PARANA","CO91460","municipality",2007,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Vaupes","MITU","CO97001","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
"Colombia","Putumayo","MOCOA","CO86001","municipality",2007,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10
"Colombia","Caquetá","MORELIA","CO18479","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Guainía","MORICHAL","CO94888","municipality",2007,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Putumayo","ORITO","CO86320","municipality",2007,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,36
"Colombia","Vaupes","PACOA","CO97511","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Guainía","PANA PANA","CO94887","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Vaupes","PAPUNAUA (MORICHAL)","CO97777","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Nariño","PASTO","CO52001","municipality",2007,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"Colombia","Cauca","PIAMONTE","CO19533","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"Colombia","Nariño","POTOSI","CO52560","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"Colombia","Nariño","PUERRES","CO52573","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Amazonas","PUERTO ALEGRÍA","CO91530","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Amazonas","PUERTO ARICA","CO91536","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Colombia","Putumayo","PUERTO ASIS","CO86568","municipality",2007,3,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,58
"Colombia","Putumayo","PUERTO CAICEDO","CO86569","municipality",2007,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15
"Colombia","Vichada","PUERTO CARREÑO","CO99001","municipality",2007,19,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
"Colombia","Guainía","PUERTO COLOMBIA","CO94884","municipality",2007,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"Colombia","Meta","PUERTO CONCORDIA","CO50450","municipality",2007,32,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2
"Colombia","Meta","PUERTO GAITAN","CO50568","municipality",2007,22,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Colombia","Putumayo","PUERTO GUZMAN","CO86571","municipality",2007,1,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25
"Colombia","Guainía","PUERTO INIRIDA","CO94884","municipality",2007,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
"Colombia","Putumayo","PUERTO LEGUIZAMO","CO86573","municipality",2007,14,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,36
"Colombia","Amazonas","PUERTO NARIÑO","CO91540","municipality",2007,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Caquetá","PUERTO RICO","CO18592","municipality",2007,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23
"Colombia","Meta","PUERTO RICO","CO50590","municipality",2007,116,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Amazonas","PUERTO SANTANDER","CO91669","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Guainía","SAN FELIPE","CO94883","municipality",2007,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Colombia","Putumayo","SAN FRANCISCO","CO86755","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Caquetá","SAN JOSE DEL FRAGUA","CO18610","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guaviare","SAN JOSE DEL GUAVIARE","CO95001","municipality",2007,680,1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,215
"Colombia","Meta","SAN JUAN DE ARAMA","CO50683","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Putumayo","SAN MIGUEL (LA DORADA)","CO86757","municipality",2007,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
"Colombia","Cauca","SAN SEBASTIAN","CO19693","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Caquetá","SAN VICENTE DEL CAGUAN","CO18753","municipality",2007,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,73
"Colombia","Cauca","SANTA ROSA","CO19701","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Vichada","SANTA ROSALIA","CO99624","municipality",2007,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
"Colombia","Putumayo","SANTIAGO","CO86760","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Putumayo","SIBUNDOY","CO86749","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
"Colombia","Caquetá","SOLANO","CO18756","municipality",2007,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5
"Colombia","Caquetá","SOLITA","CO18785","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Nariño","TANGUA","CO52788","municipality",2007,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Vaupes","TARAIRA","CO97666","municipality",2007,3,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Amazonas","TARAPACA","CO91798","municipality",2007,23,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Putumayo","VALLE DEL GUAMUEZ","CO86865","municipality",2007,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19
"Colombia","Caqueta","VALPARAISO","CO18860","municipality",2007,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
"Colombia","Putumayo","VILLAGARZON","CO86885","municipality",2007,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6
"Colombia","Meta","VISTAHERMOSA","CO50711","municipality",2007,14,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30
"Colombia","Vaupes","YAVARATE","CO97889","municipality",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Caquetá","ALBANIA","CO18029","municipality",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"Colombia","Vaupes","BARBACOAS","CO52079","municipality",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guainía","BARRANCO MINAS","CO94343","municipality",2008,4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15
"Colombia","Caquetá","BELEN DE LOS ANDAQUIES","CO18094","municipality",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10
"Colombia","Nariño","BUESACO","CO52110","municipality",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guainía","CACAHUAL","CO94886","municipality",2008,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Colombia","Guaviare","CALAMAR","CO95015","municipality",2008,170,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,194
"Colombia","Caquetá","CARTAGENA DEL CHAIRA","CO18150","municipality",2008,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34
"Colombia","Vaupes","CARURU","CO97161","municipality",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
