"country","department","COD","municipality","scale","year","bronchitis","myocardial","bronchial_emphysema","cerebral_infarction","conduct_cardiac","laryngitis","acute_resp","chronic_resp","pharyngitis","pneumonia","tonsillitis","tracheitis","neoplasm_respiratory","malaria","cutaneous_leishmaniasis","visceral_leishmaniasis","chagas","rickettsia"
"Ecuador","Azuay","EC010150","Cuenca","parroquia",2015,41,166,161,85,26,80,63,52,9,1489,57,1,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010150","Cuenca","parroquia",2016,39,187,155,106,19,64,84,76,26,1788,52,4,1,2,NA,NA,NA,NA
"Ecuador","Azuay","EC010250","Giron","parroquia",2015,NA,2,15,NA,NA,1,NA,3,1,48,1,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010250","Giron","parroquia",2016,NA,NA,24,NA,NA,NA,NA,1,2,44,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010250","Giron","parroquia",2019,NA,2,25,NA,1,2,2,NA,NA,130,1,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010250","Giron","parroquia",2020,NA,NA,17,NA,NA,NA,NA,1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010350","Gualaceo","parroquia",2015,3,2,15,2,NA,4,2,7,2,131,2,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010350","Gualaceo","parroquia",2016,4,2,34,NA,1,3,1,4,1,132,7,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010350","Gualaceo","parroquia",2019,3,1,53,NA,1,6,2,9,1,125,1,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010350","Gualaceo","parroquia",2020,NA,2,11,6,1,4,NA,1,3,84,3,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010550","Paute","parroquia",2015,NA,1,28,2,NA,2,1,5,NA,177,2,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010550","Paute","parroquia",2016,NA,1,60,7,NA,3,2,1,1,136,11,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010550","Paute","parroquia",2019,1,4,61,2,NA,1,4,6,1,2,6,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010550","Paute","parroquia",2020,NA,NA,25,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","Azuay","EC010850","Santa Isabel (Chaguarurco)","parroquia",2015,4,NA,2,NA,1,NA,NA,3,NA,59,1,NA,NA,NA,NA,NA,NA,NA
