"country","department","COD","municipality","scale","year","bronchial_emphysema","myocardial","cerebral_infarction","chagas","conduct_cardiac","conjunctivitis","laryngitis","cutaneous_leishmaniasis","malaria","hantavirus","rickettsia","neoplasm_respiratory","acute_resp","chronic_resp","pharyngitis","pneumonia","pulmonary_embolism","tonsillitis"
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2006,0,0,1,0,3,47,6,2,19,0,0,0,277,0,3,1,0,56
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2007,0,3,1,0,2,80,10,2,9,0,0,0,614,0,17,3,0,111
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2008,0,0,1,0,1,147,16,2,10,0,0,0,621,1,19,7,0,210
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2009,0,0,1,0,1,105,11,4,2,0,0,0,790,0,13,3,0,193
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2010,0,1,2,0,5,70,4,3,1,0,0,1,761,0,91,16,0,174
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2011,0,0,2,0,3,89,16,2,1,0,0,0,589,0,97,14,0,148
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2012,0,0,0,0,4,100,3,4,2,0,0,0,797,0,23,4,1,153
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2013,0,0,5,0,6,67,9,2,3,0,0,0,985,0,47,25,0,144
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2014,0,0,5,0,3,51,11,16,1,0,0,0,948,0,69,19,0,149
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2015,0,1,3,0,2,62,16,2,0,0,0,0,660,0,64,12,0,71
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2016,0,1,4,0,2,89,5,12,1,0,0,0,804,0,21,20,0,125
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2018,0,0,5,0,1,51,1,9,0,0,0,0,523,1,20,10,1,83
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2019,0,1,6,0,3,75,21,4,0,0,0,0,710,0,32,24,0,77
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2020,0,0,8,0,2,47,12,9,0,0,0,0,391,0,16,19,1,90
"Guiana FR",NA,"GUF.2.1_1","Apatou","municipality",2021,0,0,4,0,1,61,29,2,1,0,0,0,395,0,28,18,0,51
