"country","department","municipality","COD","scale","year","bronchial_emphysema","acute_resp","bronchitis","chagas","conduct_cardiac","pharyngitis","cerebral_infarction","laryngitis","cutaneous_leishmaniasis","pneumonia","rickettsia","tonsillitis","tracheitis","malaria_p_falciparum","malaria_p_vivax"
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2000,0,0,0,0,0,0,0,0,6,0,0,0,0,1,11
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2001,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2002,0,0,869,0,0,238,0,10,1,85,0,730,0,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2003,0,0,631,0,0,323,0,14,1,28,0,847,0,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2004,0,0,828,0,0,281,0,9,2,28,0,811,0,0,1
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2005,0,0,1056,0,0,616,0,12,12,40,128,973,0,2,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2006,0,7,1384,0,0,1054,0,0,5,50,73,1262,0,0,1
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2007,0,0,1626,1,0,1405,0,2,10,37,12,1758,0,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2008,0,0,1373,0,1,2735,0,20,4,33,0,1962,0,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2009,0,1,1111,0,1,2522,0,5,12,52,0,2203,0,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2010,0,3,726,0,2,2178,0,0,12,42,0,1156,0,0,1
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2011,0,1,456,0,4,1624,0,1,6,20,2,834,0,0,1
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2012,1,5,364,0,0,1460,0,3,5,22,0,649,1,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2013,1,5,571,0,2,1611,0,4,2,25,0,1240,0,0,1
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2014,0,10,598,0,3,1710,0,4,3,27,0,1887,0,0,2
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2015,1,5,432,0,4,1517,0,0,4,9,0,1595,0,0,1
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2016,0,24,404,0,0,1927,0,8,1,11,0,1591,3,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2017,2,48,434,0,0,1730,0,6,0,13,1,1579,1,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2018,1,12,466,0,6,1683,0,1,2,18,0,1769,2,0,0
"Peru","AMAZONAS","ARAMANGO","PE010202","municipality",2019,2,24,427,0,6,1670,0,3,3,24,1,1768,2,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2002,0,0,22,0,0,15,0,0,0,1,0,11,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2003,0,0,29,0,0,12,0,0,0,0,0,11,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2004,0,0,49,0,0,97,0,0,0,2,0,56,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2005,0,0,66,0,0,111,0,0,0,0,0,75,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2006,0,0,36,0,0,10,0,0,0,0,0,4,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2007,0,0,17,0,0,23,0,0,0,0,0,92,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2008,0,0,6,0,0,3,0,0,0,0,0,110,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2009,0,0,29,0,0,63,0,0,0,0,0,56,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2010,0,0,6,0,0,39,0,0,0,0,0,44,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2011,0,0,2,0,0,13,0,0,0,0,0,4,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2012,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2013,0,0,26,0,0,112,0,0,0,0,0,27,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2014,0,0,11,0,0,85,0,0,0,0,0,19,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2015,0,1,15,0,0,176,0,0,0,0,0,0,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2016,0,0,10,0,0,223,0,0,0,0,0,14,1,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2017,0,1,20,0,0,210,0,0,0,0,0,3,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2018,0,0,27,0,0,204,0,0,0,2,0,60,0,0,0
"Peru","AMAZONAS","ASUNCION","PE010102","municipality",2019,0,0,14,0,0,117,0,0,0,0,0,126,0,0,0
"Peru","AMAZONAS","BAGUA","PE010201","municipality",2000,0,0,0,0,0,0,0,0,4,0,0,0,0,17,14
"Peru","AMAZONAS","BAGUA","PE010201","municipality",2001,0,0,0,1,0,0,0,0,2,0,0,0,0,17,23
