"country","department","municipality","scale","COD","year","malaria_pVivax","malaria_pFalci"
"Venezuela","Bolivar/CARONI","ONCE DE ABRIL","parroquia","VE070104",1995,0,0
"Venezuela","Bolivar/PADRE PEDRO CHIEN","C. P. P. CHIEN","parroquia","VE071101",1995,0,0
"Venezuela","Bolivar/CARONI","SIMON BOLIVAR","parroquia","VE070105",1995,0,0
"Venezuela","Bolivar/CARONI","VISTA AL SOL","parroquia","VE070108",1995,0,0
"Venezuela","Bolivar/CARONI","YOCOIMA","parroquia","VE070110",1995,0,0
"Venezuela","Bolivar/PIAR","SECCION CAPITAL PIAR","parroquia","VE070601",1995,0,0
"Venezuela","Bolivar/CARONI","CHIRICA","parroquia","VE070102",1995,0,0
"Venezuela","Bolivar/CARONI","DALLA COSTA","parroquia","VE070103",1995,0,0
"Venezuela","Bolivar/CARONI","UNARE","parroquia","VE070106",1995,0,0
"Venezuela","Bolivar/HERES","PANAPANA","parroquia","VE070508",1995,0,0
"Venezuela","Bolivar/CARONI","CACHAMAY","parroquia","VE070101",1995,0,0
"Venezuela","Bolivar/CARONI","UNIVERSIDAD","parroquia","VE070107",1995,0,0
"Venezuela","Bolivar/CARONI","POZO VERDE","parroquia","VE070109",1995,0,0
"Venezuela","Bolivar/HERES","MARHUANTA","parroquia","VE070505",1995,0,0
"Venezuela","Bolivar/HERES","ORINOCO","parroquia","VE070507",1995,0,0
"Venezuela","Bolivar/HERES","CATEDRAL","parroquia","VE070502",1995,0,0
"Venezuela","Bolivar/HERES","AGUA SALADA","parroquia","VE070501",1995,0,0
"Venezuela","Bolivar/HERES","LA SABANITA","parroquia","VE070504",1995,0,0
"Venezuela","Bolivar/HERES","VISTA HERMOSA","parroquia","VE070506",1995,0,0
"Venezuela","Bolivar/SUCRE","MOITACO","parroquia","VE071005",1995,0,0
"Venezuela","Bolivar/HERES","JOSE ANTONIO PAEZ","parroquia","VE070503",1995,0,0
"Venezuela","Bolivar/PIAR","A. E. BLANCO","parroquia","VE070602",1995,0,0
"Venezuela","Bolivar/HERES","ZEA","parroquia","VE070509",1995,0,0
"Venezuela","Bolivar/SIFONTES","SECCION CAPITAL SIFONTES","parroquia","VE070901",1995,414,364
"Venezuela","Bolivar/RAUL LEONI","S. C. RAUL LEONI","parroquia","VE070701",1995,0,0
"Venezuela","Bolivar/ROSCIO","SALOM","parroquia","VE070802",1995,0,0
"Venezuela","Bolivar/CEDEÑO","ALTAGRACIA","parroquia","VE070202",1995,0,0
"Venezuela","Bolivar/CEDEÑO","ASCENCION FARRERAS","parroquia","VE070203",1995,169,51
"Venezuela","Bolivar/PIAR","PEDRO COVA","parroquia","VE070603",1995,0,0
"Venezuela","Bolivar/ROSCIO","S. C. ROSCIO","parroquia","VE070801",1995,0,0
"Venezuela","Bolivar/SUCRE","LAS MAJADAS","parroquia","VE071004",1995,733,0
"Venezuela","Bolivar/CEDEÑO","SECCION CAPITAL CEDEÑO","parroquia","VE070201",1995,199,50
"Venezuela","Bolivar/EL CALLAO","C. EL CALLAO","parroquia","VE070301",1995,44,9
"Venezuela","Bolivar/RAUL LEONI","SANTA BARBARA","parroquia","VE070704",1995,0,0
"Venezuela","Bolivar/SUCRE","GUARATARO","parroquia","VE071003",1995,0,0
"Venezuela","Bolivar/SUCRE","S. C. SUCRE","parroquia","VE071001",1995,0,0
"Venezuela","Bolivar/RAUL LEONI","SAN FRANCISCO","parroquia","VE070703",1995,0,0
"Venezuela","Bolivar/SUCRE","ARIPAO","parroquia","VE071002",1995,0,0
"Venezuela","Bolivar/CEDEÑO","LA URBANA","parroquia","VE070205",1995,159,20
"Venezuela","Bolivar/SIFONTES","DALLA COSTA","parroquia","VE070902",1995,1270,1270
